Success,Time,Execution Time(s),RAND,AUTN
False,12:40:14.656076,0.09309506416320801,DFD3E8004ACFACD828586BB632BF0064,9A146A5B52B98000E6BF8EEC6B865910
False,12:40:14.749864,0.05941915512084961,25CD49D7677CDD0476F1CBA83BB63E1C,13F3F928AAC8800075D89DE9669C5153
False,12:40:14.809838,0.0596768856048584,321C1E694C78A8B369BE5FD02A3BCED0,32FBA69CD9768000B3662BC03152055A
False,12:40:14.870120,0.05951690673828125,F541297308E5FF4941C4C3EAE8DCD294,C5354C27EDA38000A1E8AB4BE618653A
False,12:40:14.930177,0.05959796905517578,F88E838BE948BAA7CF5AB5B8A1F8A461,A72AF3A236468000602AE1C888DA9A12
False,12:40:14.990386,0.058757781982421875,9E740FBFF78EE546F1C4EF932F2B302F,195BD5A04546800043E476398D9732A2
False,12:40:15.049650,0.05933690071105957,6467E80D32E93D2E3F92410D38DB06E2,921C2DDE5480800081B9B2BBD320BBAD
False,12:40:15.109344,0.05988121032714844,5EF87B848249535EEE87E437A7336A92,5F2C3FD6FBEF8000098A2A278A311C4A
False,12:40:15.169853,0.05874204635620117,F2125E3225314CA76174C846331ECE73,FBD7CDB883ED8000C4047D1088AB7009
False,12:40:15.229098,0.05949091911315918,AEDF20FEF81BE2CF64EA2D7CFE7570D5,1CD9E43DB6F580002A0C1C763D49FCED
False,12:40:15.289061,0.05872702598571777,1E8ACB78D49B746E260B4C6B312254A8,755F1AAFFD3580004251B8F90009C8F8
False,12:40:15.348289,0.05967283248901367,40AE7EE00FC6D341C1995CF3A8E27BB7,5E3E3CBD05E380009830A29F015BCE78
False,12:40:15.408579,0.058676958084106445,E52C21AEECAC5D57D6724DD1E081A1F9,C4AFED1F1177800038B1D22E0AA8F2FD
False,12:40:15.467867,0.05937790870666504,E14070443505AAA28C8A1378E3A8CDC8,2F22427A235E80004036E4A15FB0BD06
False,12:40:15.527857,0.058708906173706055,6EA4E338D2DCB667132A9DF1D656CBF6,7F9B2BDB33A780003F75DA68AAE8B533
False,12:40:15.587177,0.059288978576660156,83BC1D85500739C84A878E5C29DC7AC8,746CC428BED18000AB737EF9349D868A
False,12:40:15.647065,0.05850100517272949,A9ABCEE1E7902C42FE5C3B155CAE79C5,47DD062239C08000BBF6BB761453D83E
False,12:40:15.706358,0.05951094627380371,45F453F755E8DDD084AF8744A1226D22,E7C09967C7E98000E4DC6AC6AAB00139
False,12:40:15.766395,0.05969095230102539,29D8308C7FF93C99C5D14F84161ACD20,5461D597B0278000DA452AA7795BCA61
False,12:40:15.826595,0.059648990631103516,1959B315E627AF170F7C3C69C53FAFA9,9258BB031676800087FB3FA7033DB34B
False,12:40:15.886746,0.05954408645629883,C8431248E876B56B2B313DBC0371E001,795F082236F58000467BF8104C9D1C05
False,12:40:15.946794,0.05970311164855957,D183A825B0286BCDC80B8030052D06CE,596DA5E607928000A7F1E832CABFD1FF
False,12:40:16.007002,0.05961108207702637,822D06F91EF9918DE6383D1D9B76EC10,6A79CDE8C5D78000CE9EBCF1BE629689
False,12:40:16.067116,0.0596468448638916,710B1037D5DFB39BB2F598758D7C123F,0F8560C0F51980006B6709A138A73E80
False,12:40:16.127324,0.05875802040100098,3F06C74070C4DC6C66809A52D9CF33FA,C0F8B517BC1E80005EF36694AA365554
False,12:40:16.186585,0.05853390693664551,BEAD5CA9A103B3C12F9E88220BE25B28,C487E2A006858000962F80747B5F4713
False,12:40:16.245515,0.05975198745727539,17FBD1BE92915C99EF8B8B3FBF69E528,E0B266FAF0A6800039A9293AB07E2EF0
False,12:40:16.305765,0.05856490135192871,54BBD1A3DC5A34037CDA3517ED2E6D86,79633E4200BE800031E3FD13C566DD8B
False,12:40:16.364642,0.05907106399536133,4C2311B02A686D24CBEDD038DAA6E408,B32A12BA9F568000A940C0B5ABD90080
False,12:40:16.424201,0.05958199501037598,472E33778BCD69BD20120E6D4D7DB6F3,F00D0E34F60180003205A1641FFCD3D2
False,12:40:16.484287,0.05866408348083496,4D1E79C5C3E40F4B148E3B879E9DF8E3,830597FEE3358000B2669A589D5AE74F
False,12:40:16.543508,0.05958104133605957,A0C5D4F8133AC9193B4683E4F00E54F3,04C1FA59685E8000638464FDE690FB54
False,12:40:16.603634,0.05859994888305664,A4CF521D1FD2C43CA664D4475AAF473A,7F838E72375D8000C3BAD543D555671F
False,12:40:16.662767,0.05941510200500488,B97BE92157CC16B681ECCC7FC3C9F4FF,6DCFD7F00992800049AE1B71A6316ECC
